"","Study_ID","PID1_1","PID2_1","PID3_1","PID4_1","PID5_1","PID6_1","PID7_1","PID8_1","PID9_1","PID10_1","PID11_1","PID12_1","PID13_1","PID14_1","PID15_1","PID16_1","PID17_1","PID18_1","PID19_1","PID20_1","PID21_1","PID22_1","PID23_1","PID24_1","PID25_1","Age","Gender","Ethnicity"
"205","582","1","2","1","3","1","2","2","4","3","4","3","1","3","1","2","3","1","1","3","1","3","1","3","1","1","18","2","2"
"206","571","3","2","3","4","2","1","3","4","2","3","3","2","2","1","1","2","1","1","2","2","3","1","3","2","1","","2","6"
"207","573","3","2","2","3","4","4","3","3","3","1","3","2","4","","3","3","1","2","2","1","4","1","4","1","1","","2","2"
"208","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"209","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210","580","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"211","580","1","2","3","1","1","1","1","1","3","2","2","1","2","1","2","2","2","1","3","2","1","1","2","2","2","21","2","2"
"212","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"213","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"214","514","1","1","1","1","1","1","1","3","1","3","1","3","4","1","2","2","1","1","2","2","3","1","3","3","1","","1","7"
"215","584","1","2","1","1","1","2","2","2","3","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","1","21","2","2"
"216","588","1","1","2","2","1","2","4","3","2","2","2","3","3","2","2","2","1","3","2","2","3","2","2","3","3","18","1","2"
"217","585","1","2","1","2","1","1","2","2","3","4","2","1","1","1","2","1","1","2","3","2","2","1","1","1","3","18","2","6"
"218","593","1","1","1","1","1","2","1","4","4","3","1","1","1","1","2","1","1","1","3","1","1","1","1","1","1","18","2","6"
"219","590","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2","1","3","2","1","1","1","1","1","18","2","6"
"220","592","1","1","1","2","1","2","2","4","3","4","3","1","2","1","1","3","1","1","1","1","1","1","1","2","1","18","2","6"
"221","602","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","18","2","2"
"222","600","3","2","4","4","1","1","3","3","4","3","2","1","1","2","3","3","1","1","3","1","4","3","3","3","1","22","","2"
"223","599","2","2","2","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","18","1","2"
"224","583","1","1","1","1","1","4","1","4","4","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","18","2","7"
"225","596","1","1","1","2","1","2","1","2","2","4","2","2","1","1","1","1","1","1","1","1","3","1","2","3","1","18","1","7"
"226","595","1","2","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18","2","2"
"227","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"228","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229","607","1","2","2","1","1","2","3","3","2","2","3","4","3","1","2","1","1","2","2","1","2","1","2","2","1","20","1","2"
"230","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"231","606","1","1","2","2","1","3","2","3","2","2","3","2","2","1","2","3","1","2","2","2","2","3","3","3","3","","2","2"
"232","611","3","2","3","2","3","3","3","3","2","2","2","1","4","3","2","2","2","2","2","2","2","2","2","2","2","18","2","7"
"233","598","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"235","609","1","2","1","1","1","2","1","2","2","4","3","1","1","1","2","1","1","1","3","1","3","1","3","1","1","18","2","6"
"236","608","1","2","1","2","2","2","3","2","2","2","1","1","3","1","2","3","1","1","1","1","1","2","2","1","1","20","2","2"
"237","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
